year,class,rank,Fname,site,hometown,subject
1371,第三甲,第六十九名,梁,民籍,廣東,書經
1371,第三甲,第七十名,楊,儒籍,浙江,春秋
1371,第三甲,第七十一名,王,民籍,山西,春秋
1371,第三甲,第七十二名,胡,儒籍,浙江,禮記
1371,第三甲,第七十三名,時,民籍,山東,禮記
1371,第三甲,第七十四名,柳,儒籍,浙江,詩經
1371,第三甲,第七十五名,張,民籍,河南,詩經
1371,第三甲,第七十六名,胡,民籍,北平,禮記
1371,第三甲,第七十七名,孫,民籍,河南,易經
1371,第三甲,第七十八名,智,民籍,北平,nan
1371,第三甲,第七十九名,喻,儒籍,浙江,春秋
1371,第三甲,第八十名,黃,民籍,江西,禮記
1371,第三甲,第八十一名,丁,儒籍,江西,易經
1371,第三甲,第八十二名,董,儒籍,浙江,春秋
1371,第三甲,第八十三名,陳,儒籍,浙江,詩經
1371,第三甲,第八十四名,胡,民籍,北平,易經
1371,第三甲,第八十五名,余,儒籍,浙江,春秋
1371,第三甲,第八十六名,劉,儒籍,河南,易經
1371,第三甲,第八十七名,周,儒籍,浙江,春秋
1371,第三甲,第八十八名,薛,儒籍,北平,易經
1371,第三甲,第八十九名,鍾,儒籍,浙江,詩經
1371,第三甲,第九十名,劉,儒籍,江西,書經
1371,第三甲,第九十一名,鄭,民籍,福建,書經
1371,第三甲,第九十二名,黃,儒籍,江西,易經
1371,第三甲,第九十三名,何,民籍,廣東,春秋
1371,第三甲,第九十四名,袁,民籍,山西,詩經
1371,第三甲,第九十五名,張,儒籍,福建,春秋
1371,第三甲,第九十六名,秦,民籍,□府,詩經
1371,第三甲,第九十七名,晉,民籍,山西,春秋
1371,第三甲,第九十八名,鄭,民籍,山東,書經
1371,第三甲,第九十九名,趙,民籍,河南,春秋
1371,第三甲,第一百名,趙,儒籍,陝西,春秋
1451,第一甲,第一名,柯,軍籍,福建,詩經
1451,第一甲,第二名,劉,民籍,江西,易經
1451,第一甲,第三名,王,官藉,直隸,禮記
1451,第二甲,第一名,吳,民籍,江西,詩經
1451,第二甲,第二名,周,軍籍,直隸,詩經
1451,第二甲,第三名,戚,民籍,浙江,禮記
1451,第二甲,第四名,王,軍籍,直隸,書經
1451,第二甲,第五名,林,民籍,福建,詩經
1451,第二甲,第六名,宋,民籍,浙江,春秋
1451,第二甲,第七名,牟,軍籍,四川,春秋
1451,第二甲,第八名,吳,軍籍,四川,書經
1451,第二甲,第九名,陳,官藉,直隸,書經
1451,第二甲,第十名,張,民籍,四川,詩經
1451,第二甲,第十一名,朱,民籍,浙江,春秋
1451,第二甲,第十二名,吳,軍籍,江西,詩經
1451,第二甲,第十三名,袁,軍籍,直隸,書經
1451,第二甲,第十四名,吳,匠藉,直隸,書經
1451,第二甲,第十五名,吳,匠藉,福建,書經
1451,第二甲,第十六名,趙,軍籍,陝西,易經
1451,第二甲,第十七名,桂,軍籍,四川,書經
1451,第二甲,第十八名,胡,民籍,四川,詩經
1451,第二甲,第十九名,孫,軍籍,直隸,書經
1451,第二甲,第二十名,劉,軍餘,江西,詩經
1451,第二甲,第二十一名,孫,民籍,山東,禮記
1451,第二甲,第二十二名,呂,民籍,江西,書經
1451,第二甲,第二十三名,林,軍籍,浙江,詩經
1451,第二甲,第二十四名,江,民籍,江西,易經
1451,第二甲,第二十五名,鄭,軍籍,廣西,詩經
1451,第二甲,第二十六名,沈,民籍,浙江,詩經
1451,第二甲,第二十七名,盛,軍籍,直隸,易經
1451,第二甲,第二十八名,余,軍籍,四川,詩經
1451,第二甲,第二十九名,唐,民籍,直隸,書經
1451,第二甲,第三十名,陳,民籍,福建,書經
1451,第二甲,第三十一名,唐,民籍,浙江,書經
1451,第二甲,第三十二名,黃,民籍,福建,詩經
1451,第二甲,第三十三名,李,匠藉,直隸,易經
1451,第二甲,第三十四名,汪,民籍,湖廣,書經
1451,第二甲,第三十五名,周,民籍,江西,易經
1451,第二甲,第三十六名,王,軍籍,浙江,春秋
1451,第二甲,第三十七名,張,醫藉,陝西,易經
1451,第二甲,第三十八名,李,軍籍,廣東,春秋
1451,第二甲,第三十九名,劉,民籍,江西,詩經
1451,第二甲,第四十名,和,軍籍,山西,詩經
1451,第二甲,第四十一名,周,民籍,江西,春秋
1451,第二甲,第四十二名,吳,民籍,浙江,春秋
1451,第二甲,第四十三名,李,民籍,直隸,禮記
1451,第二甲,第四十四名,成,民籍,陝西,書經
1451,第二甲,第四十五名,劉,an,江西,春秋
1451,第二甲,第四十六名,朱,匠藉,應天,書經
1451,第二甲,第四十七名,李,民籍,江西,易經
1451,第二甲,第四十八名,俞,民籍,浙江,書經
1451,第二甲,第四十九名,胡,民籍,江西,禮記
1451,第二甲,第五十名,王,民籍,江西,書經
1451,第二甲,第五十一名,相,匠藉,直隸,春秋
1451,第二甲,第五十二名,陳,官藉,浙江,禮記
1451,第二甲,第五十三名,陳,官藉,直隸,易經
1451,第二甲,第五十四名,楊,民籍,浙江,易經
1451,第二甲,第五十五名,張,民籍,山東,詩經
1451,第二甲,第五十六名,陶,軍籍,江西,書經
1451,第二甲,第五十七名,鄧,軍籍,四川,書經
1451,第二甲,第五十八名,周,軍籍,江西,易經
1451,第二甲,第五十九名,歐陽,軍籍,湖廣,詩經
1451,第二甲,第六十名,夏,民籍,浙江,詩經
1451,第二甲,第六十一名,高,民籍,江西,詩經
1451,第二甲,第六十二名,江,民籍,浙江,禮記
1451,第二甲,第六十三名,羅,竈籍,浙江,詩經
1451,第二甲,第六十四名,章,官藉,直隸,詩經
1451,第二甲,第六十五名,周,匠藉,直隸,詩經
1451,第二甲,第六十六名,張,民籍,直隸,易經
1451,第二甲,第六十七名,陳,民籍,福建,易經
1451,第二甲,第六十八名,顧,民籍,直隸,易經
1451,第二甲,第六十九名,潘,民籍,廣東,禮記
1451,第二甲,第七十名,陸,民籍,直隸,易經
1451,第二甲,第七十一名,童,民籍,江西,書經
1451,第二甲,第七十二名,童,匠藉,浙江,書經
1451,第二甲,第七十三名,李,軍籍,直隸,詩經
1451,第二甲,第七十四名,鄧,軍籍,江西,易經
1451,第二甲,第七十五名,陳,民籍,江西,書經
1451,第三甲,第一名,曹,軍籍,浙江,書經
1451,第三甲,第二名,李,軍籍,江西,春秋
1451,第三甲,第三名,彭,民籍,江西,詩經
1451,第三甲,第四名,周,軍籍,南京,禮記
1451,第三甲,第五名,王,軍籍,四川,春秋
1451,第三甲,第六名,王,民籍,直隸,易經
1451,第三甲,第七名,吳,民籍,直隸,書經
1451,第三甲,第八名,張,民籍,江西,書經
1451,第三甲,第九名,劉,民籍,江西,禮記
1451,第三甲,第十名,徐,民籍,浙江,書經
1451,第三甲,第十一名,嚴,民籍,湖廣,春秋
1451,第三甲,第十二名,尤,軍籍,四川,書經
1451,第三甲,第十三名,伍,民籍,四川,易經
1451,第三甲,第十四名,湯,民籍,江西,禮記
1451,第三甲,第十五名,蔡,軍籍,河南,書經
1451,第三甲,第十六名,陳,民籍,山東,詩經
1451,第三甲,第十七名,朱,軍籍,順天,詩經
1451,第三甲,第十八名,莫,民籍,順天,詩經
1451,第三甲,第十九名,歐,民籍,廣西,書經
1451,第三甲,第二十名,高,官籍,直隸,詩經
1451,第三甲,第二十一名,劉,民籍,江西,書經
1451,第三甲,第二十二名,胡,民籍,江西,詩經
1451,第三甲,第二十三名,鄭,民籍,浙江,易經
1451,第三甲,第二十四名,樊,匠籍,山西,書經
1451,第三甲,第二十五名,林,民籍,福建,易經
1451,第三甲,第二十六名,游,軍籍,江西,詩經
1451,第三甲,第二十七名,丁,民籍,河南,詩經
1451,第三甲,第二十八名,陳,鹽籍,福建,書經
1451,第三甲,第二十九名,戚,民籍,河南,易經
1451,第三甲,第三十名,郭,軍籍,廣西,詩經
1451,第三甲,第三十一名,程,民籍,直隸,詩經
1451,第三甲,第三十二名,吳,民籍,浙江,禮記
1451,第三甲,第三十三名,劉,軍籍,江西,春秋
1451,第三甲,第三十四名,楊,軍籍,浙江,書經
1451,第三甲,第三十五名,劉,民籍,陝西,禮記
1451,第三甲,第三十六名,陽,軍籍,江西,書經
1451,第三甲,第三十七名,嚴,民籍,河南,書經
1451,第三甲,第三十八名,許,民籍,廣東,書經
1451,第三甲,第三十九名,楊,官籍,直隸,易經
1451,第三甲,第四十名,劉,民籍,四川,書經
1451,第三甲,第四十一名,王,民籍,福建,春秋
1451,第三甲,第四十二名,岳,匠籍,河南,詩經
1451,第三甲,第四十三名,張,軍籍,直隸,詩經
1451,第三甲,第四十四名,龍,民籍,江西,易經
1451,第三甲,第四十五名,盛,民籍,直隸,書經
1451,第三甲,第四十六名,劉,民籍,直隸,詩經
1451,第三甲,第四十七名,趙,軍籍,河南,詩經
1451,第三甲,第四十八名,閻,軍籍,陝西,書經
1451,第三甲,第四十九名,邵,民籍,浙江,春秋
1451,第三甲,第五十名,楊,民籍,山西,詩經
1451,第三甲,第五十一名,李,民籍,山東,書經
1451,第三甲,第五十二名,歐陽,民籍,江西,春秋
1451,第三甲,第五十三名,李,民籍,廣東,詩經
1451,第三甲,第五十四名,郭,民籍,山西,易經
1451,第三甲,第五十五名,吳,民籍,江西,書經
1451,第三甲,第五十六名,鄭,竈籍,四川,書經
1451,第三甲,第五十七名,李,官籍,直隸,易經
1451,第三甲,第五十八名,葉,軍籍,直隸,易經
1451,第三甲,第五十九名,吳,民籍,福建,書經
1451,第三甲,第六十名,邵,軍籍,浙江,禮記
1451,第三甲,第六十一名,靳,軍籍,直隸,詩經
1451,第三甲,第六十二名,羅,軍籍,四川,書經
1451,第三甲,第六十三名,郝,民籍,陝西,易經
1451,第三甲,第六十四名,龔,民籍,直隸,詩經
1451,第三甲,第六十五名,繆,軍籍,直隸,詩經
1451,第三甲,第六十六名,李,民籍,江西,禮記
1451,第三甲,第六十七名,章,匠籍,浙江,書經
1451,第三甲,第六十八名,楊,軍籍,四川,詩經
1451,第三甲,第六十九名,張,民籍,江西,詩經
1451,第三甲,第七十名,婁,民籍,浙江,書經
1451,第三甲,第七十一名,張,軍籍,湖廣,易經
1451,第三甲,第七十二名,李,軍籍,直隸,書經
1451,第三甲,第七十三名,金,民籍,浙江,易經
1451,第三甲,第七十四名,謝,民籍,浙江,詩經
1451,第三甲,第七十五名,鍾,民籍,浙江,易經
1451,第三甲,第七十六名,白,民籍,河南,詩經
1451,第三甲,第七十七名,李,民籍,直隸,禮記
1451,第三甲,第七十八名,章,軍籍,浙江,書經
1451,第三甲,第七十九名,田,匠籍,應天,詩經
1451,第三甲,第八十名,何,民籍,四川,禮記
1451,第三甲,第八十一名,楊,民籍,四川,春秋
1451,第三甲,第八十二名,洪,民籍,浙江,書經
1451,第三甲,第八十三名,秦,軍籍,山東,詩經
1451,第三甲,第八十四名,辛,民籍,河南,詩經
1451,第三甲,第八十五名,王,官籍,雲南,春秋
1451,第三甲,第八十六名,潘,民籍,應天,詩經
1451,第三甲,第八十七名,章,官籍,直隸,書經
1451,第三甲,第八十八名,楊,匠籍,浙江,詩經
1451,第三甲,第八十九名,項,民籍,江西,詩經
1451,第三甲,第九十名,黃,軍籍,江西,書經
1451,第三甲,第九十一名,張,匠籍,浙江,春秋
1451,第三甲,第九十二名,姚,民籍,直隸,書經
1451,第三甲,第九十三名,王,民籍,直隸,書經
1451,第三甲,第九十四名,汪,軍籍,河南,禮記
1451,第三甲,第九十五名,王,民籍,四川,書經
1451,第三甲,第九十六名,彭,民籍,浙江,禮記
1451,第三甲,第九十七名,莊,民籍,直隸,春秋
1451,第三甲,第九十八名,鄭,民籍,浙江,春秋
1451,第三甲,第九十九名,丁,民籍,山東,詩經
1451,第三甲,第一百名,李,軍籍,四川,禮記
1451,第三甲,第一百零一名,鍾,民籍,江西,禮記
1451,第三甲,第一百零二名,應,民籍,浙江,書經
1451,第三甲,第一百零三名,莊,軍籍,四川,禮記
1451,第三甲,第一百零四名,鄭,民籍,江西,詩經
1451,第三甲,第一百零五名,曹,民籍,直隸,詩經
1451,第三甲,第一百零六名,董,軍籍,湖廣,書經
1451,第三甲,第一百零七名,馬,民籍,河南,詩經
1451,第三甲,第一百零八名,徐,民籍,河南,春秋
1451,第三甲,第一百零九名,劉,民籍,浙江,書經
1451,第三甲,第一百一十名,江,民籍,四川,春秋
1451,第三甲,第一百一十一名,項,民籍,浙江,禮記
1451,第三甲,第一百一十二名,吳,民籍,江西,禮記
1451,第三甲,第一百一十三名,周,軍籍,直隸,書經
1451,第三甲,第一百一十四名,鄧,軍籍,江西,易經
1451,第三甲,第一百一十五名,張,軍籍,直隸,春秋
1451,第三甲,第一百一十六名,左,民籍,江西,易經
1451,第三甲,第一百一十七名,沈,民籍,浙江,書經
1451,第三甲,第一百一十八名,葉,匠籍,福建,詩經
1451,第三甲,第一百一十九名,鄭,民籍,直隸,易經
1451,第三甲,第一百二十名,黃,戶籍,江西,詩經
1451,第三甲,第一百二十一名,趙,民籍,陝西,詩經
1451,第三甲,第一百二十二名,張,軍籍,福建,易經
1451,第三甲,第一百二十三名,周,民籍,直隸,禮記
1454,第一甲,第一名,孫,民籍,河南,詩經
1454,第一甲,第二名,徐,官籍,直隸,書經
1454,第一甲,第三名,徐,官籍,直隸,書經
1454,第二甲,第一名,丘,民籍,廣東,禮記
1454,第二甲,第二名,易,民籍,貴州,詩經
1454,第二甲,第三名,程,軍籍,直隸,書經
1454,第二甲,第四名,胡,軍籍,江西,書經
1454,第二甲,第五名,陳,官籍,湖廣,書經
1454,第二甲,第六名,康,民籍,廣東,書經
1454,第二甲,第七名,王,民籍,浙江,春秋
1454,第二甲,第八名,黃,民籍,福建,書經
1454,第二甲,第九名,謝,官籍,江西,春秋
1454,第二甲,第十名,李,軍籍,直隸,春秋
1454,第二甲,第十一名,王,民籍,江西,書經
1454,第二甲,第十二名,高,軍籍,直隸,易經
1454,第二甲,第十三名,嚴,軍餘,浙江,書經
1454,第二甲,第十四名,孔,儒籍,山東,禮記
1454,第二甲,第十五名,史,民籍,直隸,書經
1454,第二甲,第十六名,張,軍籍,浙江,書經
1454,第二甲,第十七名,耿,官籍,山西,書經
1454,第二甲,第十八名,徐,民籍,浙江,易經
1454,第二甲,第十九名,劉,軍籍,浙江,易經
1454,第二甲,第二十名,孫,軍籍,浙江,禮記
1454,第二甲,第二十一名,彭,儒籍,江西,春秋
1454,第二甲,第二十二名,劉,民籍,江西,春秋
1454,第二甲,第二十三名,陳,儒籍,江西,詩經
1454,第二甲,第二十四名,杜,民籍,直隸,易經
1454,第二甲,第二十五名,張,民籍,直隸,詩經
1454,第二甲,第二十六名,黃,民籍,浙江,禮記
1454,第二甲,第二十七名,張,官籍,江西,春秋
1454,第二甲,第二十八名,張,民籍,直隸,書經
1454,第二甲,第二十九名,謝,軍籍,福建,詩經
1454,第二甲,第三十名,顧,匠籍,直隸,書經
1454,第二甲,第三十一名,章,民籍,浙江,詩經
1454,第二甲,第三十二名,盧,民籍,江西,書經
1454,第二甲,第三十三名,曾,民籍,直隸,易經
1454,第二甲,第三十四名,浦,民籍,直隸,易經
1454,第二甲,第三十五名,朱,官籍,直隸,書經
1454,第二甲,第三十六名,黎,軍籍,湖廣,詩經
1454,第二甲,第三十七名,閻,匠籍,陝西,禮記
1454,第二甲,第三十八名,苗,軍籍,山東,詩經
1454,第二甲,第三十九名,魏,軍籍,湖廣,詩經
1454,第二甲,第四十名,程,民籍,直隸,詩經
1454,第二甲,第四十一名,王,軍籍,四川,禮記
1454,第二甲,第四十二名,歐,民籍,四川,春秋
1454,第二甲,第四十三名,蔣,軍籍,直隸,書經
1454,第二甲,第四十四名,陳,民籍,直隸,詩經
1454,第二甲,第四十五名,李,民籍,廣西,書經
1454,第二甲,第四十六名,劉,軍籍,順天,書經
1454,第二甲,第四十七名,楊,民籍,直隸,詩經
1454,第二甲,第四十八名,王,民籍,江西,詩經
1454,第二甲,第四十九名,宋,民籍,江西,禮記
1454,第二甲,第五十名,范,民籍,江西,書經
1454,第二甲,第五十一名,許,民籍,浙江,春秋
1454,第二甲,第五十二名,牛,民籍,順天,書經
1454,第二甲,第五十三名,林,民籍,福建,書經
1454,第二甲,第五十四名,孟,軍籍,直隸,書經
1454,第二甲,第五十五名,何,民籍,浙江,春秋
1454,第二甲,第五十六名,費,□籍,四川,易經
1454,第二甲,第五十七名,伍,軍籍,浙江,書經
1454,第二甲,第五十八名,卓,民籍,福建,詩經
1454,第二甲,第五十九名,黃,民籍,江西,書經
1454,第二甲,第六十名,焦,軍籍,山東,易經
1454,第二甲,第六十一名,杜,民籍,直隸,詩經
1454,第二甲,第六十二名,屈,民籍,山西,詩經
1454,第二甲,第六十三名,林,民籍,福建,書經
1454,第二甲,第六十四名,吳,軍籍,直隸,書經
1454,第二甲,第六十五名,何,官籍,江西,書經
1454,第二甲,第六十六名,莊,民籍,福建,詩經
1454,第二甲,第六十七名,魯,軍籍,廣東,書經
1454,第二甲,第六十八名,陳,軍籍,四川,書經
1454,第二甲,第六十九名,楊,民籍,雲南,禮記
1454,第二甲,第七十名,蕭,軍籍,廣東,書經
1454,第二甲,第七十一名,曾,民籍,江西,春秋
1454,第二甲,第七十二名,陳,民籍,浙江,禮記
1454,第二甲,第七十三名,趙,軍籍,山西,詩經
1454,第二甲,第七十四名,王,民籍,福建,書經
1454,第二甲,第七十五名,邵,軍籍,福建,詩經
1454,第二甲,第七十六名,黃,民籍,四川,易經
1454,第二甲,第七十七名,吳,民籍,直隸,禮記
1454,第二甲,第七十八名,陳,民籍,浙江,禮記
1454,第二甲,第七十九名,侯,民籍,直隸,詩經
1454,第二甲,第八十名,魯,民籍,浙江,詩經
1454,第二甲,第八十一名,郁,民籍,直隸,易經
1454,第二甲,第八十二名,馬,官籍,直隸,書經
1454,第二甲,第八十三名,李,民籍,江西,詩經
1454,第二甲,第八十四名,謝,民籍,浙江,詩經
1454,第二甲,第八十五名,高,匠籍,直隸,春秋
1454,第二甲,第八十六名,呂,民籍,河南,書經
1454,第二甲,第八十七名,賈,民籍,四川,書經
1454,第二甲,第八十八名,黃,軍籍,湖廣,書經
1454,第二甲,第八十九名,嚴,軍籍,福建,書經
1454,第二甲,第九十名,塗,民籍,江西,書經
1454,第二甲,第九十一名,沈,民籍,浙江,詩經
1454,第二甲,第九十二名,趙,軍籍,直隸,詩經
1454,第二甲,第九十三名,楊,民籍,江西,禮記
1454,第二甲,第九十四名,董,民籍,浙江,易經
1454,第二甲,第九十五名,葉,民籍,直隸,春秋
1454,第二甲,第九十六名,宋,軍籍,四川,詩經
1454,第二甲,第九十七名,桂,民籍,浙江,詩經
1454,第二甲,第九十八名,尹,儒籍,江西,書經
1454,第二甲,第九十九名,鄭,民籍,直隸,書經
1454,第二甲,第一百名,劉,民籍,江西,易經
1454,第二甲,第一百零一名,鄭,軍籍,應天,書經
1454,第二甲,第一百零二名,李,民籍,山東,易經
1454,第二甲,第一百零三名,吳,民籍,浙江,詩經
1454,第二甲,第一百零四名,周,官籍,貴州,春秋
1454,第二甲,第一百零五名,劉,民籍,江西,春秋
1454,第二甲,第一百零六名,陳,民籍,福建,書經
1454,第二甲,第一百零七名,傅,民籍,江西,易經
1454,第二甲,第一百零八名,袁,軍籍,江西,禮記
1454,第二甲,第一百零九名,楊,民籍,江西,書經
1454,第二甲,第一百一十名,趙,匠籍,直隸,易經
1454,第二甲,第一百一十一名,范,民籍,浙江,書經
1454,第二甲,第一百一十二名,郭,軍籍,直隸,書經
1454,第二甲,第一百一十三名,江,民籍,浙江,詩經
1454,第二甲,第一百一十四名,汪,民籍,直隸,書經
1454,第二甲,第一百一十五名,單,儒籍,江西,書經
1454,第二甲,第一百一十六名,豐,民籍,江西,易經
1454,第二甲,第一百一十七名,龍,軍籍,江西,詩經
1454,第二甲,第一百一十八名,顏,匠籍,直隸,書經
1454,第二甲,第一百一十九名,徐,儒籍,浙江,禮記
1454,第二甲,第一百二十名,楊,民籍,福建,易經
1454,第二甲,第一百二十一名,周,民籍,浙江,春秋
1454,第二甲,第一百二十二名,劉,匠籍,直隸,書經
1454,第二甲,第一百二十三名,鄭,民籍,廣東,書經
1454,第二甲,第一百二十四名,李,官籍,山東,書經
1454,第二甲,第一百二十五名,鍾,軍籍,直隸,詩經
1454,第二甲,第一百二十六名,劉,官籍,江西,易經
1454,第二甲,第一百二十七名,唐,民籍,浙江,詩經
1454,第二甲,第一百二十八名,李,民籍,河南,書經
1454,第二甲,第一百二十九名,錢,軍籍,直隸,禮記
1454,第三甲,第一名,崔,民籍,直隸,春秋
1454,第三甲,第二名,潘,匠籍,應天,易經
1454,第三甲,第三名,胡,匠籍,河南,詩經
1454,第三甲,第四名,徐,匠籍,浙江,書經
1454,第三甲,第五名,王,民籍,四川,詩經
1454,第三甲,第六名,李,軍籍,江西,詩經
1454,第三甲,第七名,徐,軍籍,四川,詩經
1454,第三甲,第八名,熊,民籍,湖廣,書經
1454,第三甲,第九名,錢,軍籍,直隸,禮記
1454,第三甲,第十名,張,軍籍,湖廣,禮記
1454,第三甲,第十一名,王,民籍,陝西,書經
1454,第三甲,第十二名,陳,軍籍,廣東,易經
1454,第三甲,第十三名,劉,軍籍,湖廣,詩經
1454,第三甲,第十四名,李,民籍,陝西,春秋
1454,第三甲,第十五名,寧,醫籍,直隸,書經
1454,第三甲,第十六名,王,匠籍,山東,詩經
1454,第三甲,第十七名,胡,民籍,江西,詩經
1454,第三甲,第十八名,曾,軍籍,江西,詩經
1454,第三甲,第十九名,翟,民籍,河南,詩經
1454,第三甲,第二十名,方,軍籍,福建,書經
1454,第三甲,第二十一名,錢,民籍,浙江,禮記
1454,第三甲,第二十二名,鄭,匠籍,福建,書經
1454,第三甲,第二十三名,夏,軍籍,直隸,書經
1454,第三甲,第二十四名,胡,軍籍,浙江,禮記
1454,第三甲,第二十五名,蔣,民籍,直隸,春秋
1454,第三甲,第二十六名,鄭,軍籍,福建,春秋
1454,第三甲,第二十七名,王,軍籍,四川,書經
1454,第三甲,第二十八名,勞,民籍,江西,詩經
1454,第三甲,第二十九名,鄭,民籍,浙江,詩經
1454,第三甲,第三十名,鄒,軍籍,四川,詩經
1454,第三甲,第三十一名,林,民籍,福建,易經
1454,第三甲,第三十二名,孔,儒籍,直隸,易經
1454,第三甲,第三十三名,王,軍籍,山西,書經
1454,第三甲,第三十四名,劉,民籍,江西,詩經
1454,第三甲,第三十五名,上,軍籍,湖廣,詩經
1454,第三甲,第三十六名,梁,匠籍,廣東,易經
1454,第三甲,第三十七名,馬,民籍,江西,易經
1454,第三甲,第三十八名,劉,軍籍,江西,易經
1454,第三甲,第三十九名,孫,軍籍,直隸,詩經
1454,第三甲,第四十名,顏,民籍,湖廣,詩經
1454,第三甲,第四十一名,王,民籍,河南,書經
1454,第三甲,第四十二名,翁,軍籍,四川,詩經
1454,第三甲,第四十三名,滕,軍籍,陝西,書經
1454,第三甲,第四十四名,沈,民籍,浙江,詩經
1454,第三甲,第四十五名,孟,民籍,直隸,春秋
1454,第三甲,第四十六名,郁,軍籍,山東,春秋
